,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,14681.409534023,3455.93967160341,0.07685181073780899,1.4303161720579602,0.038,0.02,0.15,12,2.0328543485484953,11913,0.375,4.467375,0,140.87680635441072,4,-0.014499569695115089,4
2 Petrol  Mid,23151.858519096,9001.23882843688,0.08189715939788868,2.240147097938111,0.051,0.03,0.15,12,2.1663119582667325,11913,0.375,4.467375,0.32,150.12541870788456,4,-0.014499569695115089,4
3 Petrol Lux,32875.3036315925,18030.9550968027,0.11021373719075252,3.1097382229665556,0.064,0.03,0.15,12,2.915331112787647,11913,0.375,4.467375,-0.44,202.03244611618393,4,-0.014499569695115089,4
4 Adv Petrol Econ,14681.409534023,3455.93967160341,0.06916662966402808,1.4303161720579602,0.038,0.02,0.15,12,1.8295689136936457,11913,0.375,4.467375,0,126.78912571896964,4,-0.07400058144377691,4
5 Adv Petrol Mid,23151.858519096,9001.23882843688,0.0737074434580998,2.240147097938111,0.051,0.03,0.15,12,1.9496807624400592,11913,0.375,4.467375,0.32,135.11287683709608,4,-0.07400058144377691,4
6 Adv Petrol Lux,32875.3036315925,18030.9550968027,0.09919236347167726,3.1097382229665556,0.064,0.03,0.15,12,2.623798001508882,11913,0.375,4.467375,-0.44,181.82920150456553,4,-0.07400058144377691,4
7 Diesel Econ,12660.6737408233,4091.21581972342,0.06227138853055008,0.2770832525389659,0.038,0.02,0.15,12,1.9728457605253917,11913,0.375,4.467375,-0.78,146.18787085493153,4,-0.014499569695115089,4
8 Diesel Mid,16823.1144713641,8582.17017726965,0.07065285562460594,0.8791526744860079,0.051,0.03,0.15,12,2.2383825056291085,11913,0.375,4.467375,0.1,165.86414366711693,4,-0.014499569695115089,4
9 Diesel Lux,27714.2104665101,36810.2881001422,0.0890561628600648,2.4289133421155102,0.064,0.04,0.15,12,2.821425336628602,11913,0.375,4.467375,-0.4600000000000001,209.0676174441794,4,-0.014499569695115089,4
10 Adv Diesel Econ,12660.6737408233,4091.21581972342,0.056044249677495064,0.2770832525389659,0.038,0,0.15,12,1.7755611844728525,11913,0.375,4.467375,-0.78,131.56908376943838,4,-0.07400058144377691,4
11 Adv Diesel Mid,16823.1144713641,8582.17017726965,0.06358757006214534,0.8791526744860079,0.051,0,0.15,12,2.014544255066198,11913,0.375,4.467375,0.1,149.27772930040524,4,-0.07400058144377691,4
12 Adv Diesel Lux,27714.2104665101,36810.2881001422,0.08015054657405833,2.4289133421155102,0.064,0,0.15,12,2.539282802965742,11913,0.375,4.467375,-0.4600000000000001,188.16085569976147,4,-0.07400058144377691,4
13 LPG Econ,12660.6737408233,4091.21581972342,0,0,0.039,0.02,0.15,12,1.5079999999999998,11913,0.375,4.467375,0,84.59879999999998,4,-0.014499569695115089,4
14 LPG Mid,16823.1144713641,8582.17017726965,0,0,0.056,0.03,0.15,12,2.21,11913,0.375,4.467375,0,123.981,4,-0.014499569695115089,4
15 LPG Lux,27714.2104665101,36810.2881001422,0,0,0.066,0.04,0.15,12,2.5480000000000005,11913,0.375,4.467375,0,142.9428,4,-0.014499569695115089,4
16 Hybrid Econ,27300,1000,0.0434,0.124,0.039,0.03,0.15,12,1.148,11913,0.375,4.467375,-1.62791,79.5564,4,-0.15200309344504995,4
17 Hybrid Mid,37144.5454545455,3777.55194782575,0.052448398340249024,0.7604781119435328,0.056,0.04,0.15,12,1.387344730290458,11913,0.375,4.467375,-1.96,96.14298980912875,4,-0.15200309344504995,4
18 Hybrid Lux,45000,1000,0.07192,0.124,0.066,0.04,0.15,12,1.9023999999999996,11913,0.375,4.467375,-2.116278,131.83631999999997,4,-0.15200309344504995,4
19 Electric Econ,20000,1000,0,0,0.046,0.04,0.15,12,0.21,11913,0.375,4.467375,0,0,4,-0.15200309344504995,4
20 Electric Mid,30000,1000,0,0,0.065,0.05,0.15,12,0.54,11913,0.375,4.467375,0,0,4,-0.15200309344504995,4
21 Electric Lux,40000,1000,0,0,0.08,0.06,0.15,12,0.58,11913,0.375,4.467375,0,0,4,-0.15200309344504995,4
22 motorcycles Econ,1504,404,0,0,0,0.03,0.15,7,0,5956.5,0.55,3.276075,0,0,2,-0.014499569695115089,3
23 motorcycles Lux,5974,5360,0,0,0,0.03,0.15,7,0,5956.5,0.55,3.276075,0,0,2,-0.014499569695115089,3
24 Adv motorcycles Econ,1504,404,0,0,0,0,0.15,7,0,5956.5,0.55,3.276075,0,0,2,-0.014499569695115089,3
25 Adv motorcycles Lux,5974,5360,0,0,0,0,0.15,7,0,5956.5,0.55,3.276075,0,0,2,-0.014499569695115089,3
