Package,Version
alabaster,0.7.12
anaconda-client,1.8.0
anaconda-navigator,1.8.7
anaconda-project,0.10.2
appdirs,1.4.4
asn1crypto,1.2.0
astroid,2.3.3
astropy,4.0.2
atomicwrites,1.4.0
attrs,19.3.0
Automat,20.2.0
Babel,2.7.0
backcall,0.1.0
backports.functools-lru-cache,1.6.4
backports.shutil-get-terminal-size,1.0.0
backports.tempfile,1.0
backports.weakref,1.0.post1
bcrypt,3.2.0
beautifulsoup4,4.10.0
bitarray,2.3.0
bkcharts,0.2
black,19.10b0
blaze,0.11.3
bleach,3.1.0
bokeh,2.1.1
boto,2.49.0
bottle,0.12.19
Bottleneck,1.3.2
celib,0.4.1
certifi,2021.5.30
cffi,1.13.2
chardet,3.0.4
Click,7.0
cloudpickle,1.2.2
clyent,1.2.2
colorama,0.4.1
comtypes,1.1.10
conda,4.10.3
conda-build,3.10.5
conda-pack,0.6.0
conda-package-handling,1.7.3
conda-verify,3.4.2
constantly,15.1.0
contextlib2,0.6.0.post1
contextvars,2.4
coverage,4.5.4
cryptography,2.8
cycler,0.10.0
Cython,0.29.24
cytoolz,0.11.0
dash,1.4.1
dash-core-components,1.3.1
dash-html-components,1.0.1
dash-renderer,1.1.2
dash-table,4.4.1
dask,2.16.0
datashape,0.5.4
decorator,4.4.1
defusedxml,0.6.0
distributed,2.16.0
docutils,0.15.2
entrypoints,0.3
et-xmlfile,1.0.1
fastcache,1.1.0
filelock,3.4.0
Flask,1.1.1
Flask-Compress,1.4.0
Flask-Cors,3.0.10
fsspec,2022.1.0
future,0.18.2
gevent,21.8.0
glob2,0.7
greenlet,1.1.1
h5py,2.10.0
HeapDict,1.0.1
html5lib,1.1
hyperlink,21.0.0
hypothesis,6.29.3
idna,2.8
imageio,2.6.1
imagesize,1.1.0
immutables,0.16
importlib-metadata,4.8.1
incremental,21.3.0
iniconfig,1.1.1
ipykernel,5.1.3
ipython,7.9.0
ipython-genutils,0.2.0
ipywidgets,7.5.1
isort,4.3.21
itsdangerous,1.1.0
jdcal,1.4.1
jedi,0.15.1
Jinja2,2.10.3
joblib,1.0.1
json5,0.9.6
jsonschema,3.1.1
jupyter,1.0.0
jupyter-client,5.3.4
jupyter-console,6.0.0
jupyter-core,4.6.1
jupyterlab,1.2.6
jupyterlab-launcher,0.13.1
jupyterlab-server,1.1.4
keyring,18.0.0
kiwisolver,1.1.0
lazy-object-proxy,1.4.3
llvmlite,0.36.0
locket,0.2.1
lxml,4.6.3
MarkupSafe,1.1.1
matplotlib,3.2.2
mccabe,0.6.1
menuinst,1.4.18
mistune,0.8.4
mkl-fft,1.0.15
mkl-random,1.1.0
mkl-service,2.3.0
mock,4.0.3
more-itertools,7.2.0
mpmath,1.2.1
msgpack,1.0.2
multipledispatch,0.6.0
mypy-extensions,0.4.3
navigator-updater,0.2.1
nbconvert,5.6.1
nbformat,4.4.0
networkx,2.5.1
nltk,3.6.5
nose,1.3.7
notebook,6.0.2
numba,0.53.0
numexpr,2.7.3
numpy,1.17.3
numpydoc,0.9.1
odo,0.5.1
olefile,0.46
openpyxl,3.0.1
packaging,19.2
pandas,1.0.3
pandocfilters,1.4.2
parso,0.5.1
partd,1.2.0
Paste,3.5.0
path,16.2.0
pathlib2,2.3.6
pathspec,0.7.0
patsy,0.5.1
pep8,1.7.1
pickleshare,0.7.5
Pillow,6.2.1
pip,21.2.2
pkginfo,1.8.2
plotly,4.2.1
pluggy,0.13.1
ply,3.11
prometheus-client,0.7.1
prompt-toolkit,2.0.10
psutil,5.6.5
py,1.11.0
pyasn1,0.4.8
pyasn1-modules,0.2.8
pycodestyle,2.5.0
pycosat,0.6.3
pycparser,2.19
pycrypto,2.6.1
pycurl,7.44.1
pyflakes,2.1.1
Pygments,2.4.2
PyHamcrest,2.0.2
pylint,2.4.4
pyodbc,4.0.0-unsupported
pyOpenSSL,19.0.0
pyparsing,2.4.5
pyreadline,2.1
pyrsistent,0.15.5
PySocks,1.7.1
pytest,6.2.4
pytest-arraydiff,0.3
pytest-astropy,0.8.0
pytest-astropy-header,0.1.2
pytest-cov,2.11.0
pytest-doctestplus,0.0.0
pytest-filter-subpackage,0.1.1
pytest-mock,3.6.1
pytest-openfiles,0.5.0
pytest-remotedata,0.3.2
python-dateutil,2.8.1
pytz,2019.3
PyWavelets,1.1.1
pywin32,223
pywinpty,0.5.5
PyYAML,5.1.2
pyzmq,18.1.0
QtAwesome,0.6.0
qtconsole,4.5.5
QtPy,1.9.0
regex,2021.8.3
requests,2.22.0
retrying,1.3.3
rope,0.14.0
ruamel_yaml,0.15.87
scikit-image,0.17.2
scikit-learn,0.24.2
scipy,1.3.1
seaborn,0.11.2
Send2Trash,1.5.0
service-identity,18.1.0
setuptools,41.6.0.post20191030
simplegeneric,0.8.1
singledispatch,3.7.0
six,1.13.0
snowballstemmer,2.0.0
sortedcollections,2.1.0
sortedcontainers,2.4.0
soupsieve,2.3.1
Sphinx,2.2.1
sphinxcontrib-applehelp,1.0.1
sphinxcontrib-devhelp,1.0.1
sphinxcontrib-htmlhelp,1.0.2
sphinxcontrib-jsmath,1.0.1
sphinxcontrib-qthelp,1.0.2
sphinxcontrib-serializinghtml,1.1.3
sphinxcontrib-websupport,1.2.4
spyder,3.3.6
spyder-kernels,0.5.2
SQLAlchemy,1.4.22
statsmodels,0.10.1
sympy,1.8
tables,3.6.1
tblib,1.7.0
terminado,0.8.2
testpath,0.4.4
threadpoolctl,2.2.0
tifffile,2020.10.1
toml,0.10.2
toolz,0.11.2
tornado,6.0.3
tqdm,4.63.0
traitlets,4.3.3
Twisted,21.2.0
twisted-iocpsupport,1.0.1
typed-ast,1.4.0
typing_extensions,4.1.1
unicodecsv,0.14.1
urllib3,1.24.2
wcwidth,0.1.7
webencodings,0.5.1
Werkzeug,0.16.0
wheel,0.33.6
widgetsnbextension,3.5.1
win-inet-pton,1.1.0
win-unicode-console,0.5
wincertstore,0.2
wrapt,1.11.2
xlrd,1.2.0
XlsxWriter,1.2.6
xlwings,0.24.7
xlwt,1.3.0
zict,2.0.0
zipp,0.6.0
zope.event,4.5.0
zope.interface,5.4.0
